Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Jönköping;74470;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-02-01 00:00:00;1978-10-01 23:59:59;98.0;57.7666;14.1833
2019-01-01 00:00:00;2019-01-09 12:00:00;184.0;57.79941;14.13143

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2018-12-31 06:00:01;2019-01-01 06:00:00;2018-12-31;1.0;G;;Data från senaste fyra månaderna
2019-01-01 06:00:01;2019-01-02 06:00:00;2019-01-01;0.0;G;;Tidsperiod (fr.o.m.) = 2018-09-01 00:00:01 (UTC)
2019-01-02 06:00:01;2019-01-03 06:00:00;2019-01-02;0.0;G;;Tidsperiod (t.o.m.) = 2019-01-09 12:00:00 (UTC)
2019-01-03 06:00:01;2019-01-04 06:00:00;2019-01-03;0.0;G;;Värdet är summerat över = 24 timmar
2019-01-04 06:00:01;2019-01-05 06:00:00;2019-01-04;0.1;G;;
2019-01-05 06:00:01;2019-01-06 06:00:00;2019-01-05;0.0;G;;Kvalitetskoderna:
2019-01-06 06:00:01;2019-01-07 06:00:00;2019-01-06;0.2;G;;Grön (G) = Kontrollerade och godkända värden.
2019-01-07 06:00:01;2019-01-08 06:00:00;2019-01-07;2.6;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2019-01-08 06:00:01;2019-01-09 06:00:00;2019-01-08;14.9;G;;
;;;;;;Orsaker till saknade data:
;;;;;;  stationen eller givaren har varit ur funktion.
